node_id	sequence_md5	accession	accession_all	enzyme_name	organism	sequence_length	v1_component	cath
m0395	d8bf4c4b8965f1f5509d077b1db637c5	AB302140	AB302140;BAF57214.1	PlaM9 depolymerase	Metagenome	338	40	3.40.50.1820
m0396	d8c880a8e19c3f44b32d639747b57222	WP_139584963.1	WP_139584963.1	1642	Micromonospora orduensis	465		
m0397	d91b645ebea282e1c771123a7abe685f	WP_011209364.1	WP_011209364.1	aryl acylamidase	Nocardia farcinica IFM10512	479	10	3.90.1300.10
m0398	da74b7409b4c0618cc66c7787e557585	AAD22743.1	AAD22743.1	PueA	Pseudomonas chloroaphis	617	4	3.40.50.1820
m0399	dab2da810add966a777bb8c243da293b	Q99174	Q99174	FSC	Fusarium solani	230	2	3.40.50.1820
m0400	dbb69c16a79774a1a51b4b80a8f1bd63	WP_083302694.1	WP_083302694.1	1594	Micromonospora carbonacea	463		
m0401	dcdd75a330b1680da8c69fade4d72aab	WP_132183354.1	WP_132183354.1	1493	Micromonospora sp. KC606	454		
m0402	dd7528addd91f972769d7e42c16b53cd	AAA33742.1	AAA33742.1	MnP		378		
m0403	de5188fe17cc9552eecfc6b69179e19d	ALS54749.1	ALS54749.1	Chath_Est1	Clostridium hathewayi DSM-13479	520	23	3.40.50.1820
m0404	de58930843f53b731bc34d03f729488d	WP_090538641	WP_090538641;WP_090538641.1	Hfor_PE-H	Halopseudomonas formosensis	304	1	3.40.50.1820
m0405	de7fd3cae353ad8fabd922f83140376c	AKJ87216	AKJ87216	GEN0105	Metagenome	322	23	3.40.50.1820
m0406	dea4da8f4f93db0b2277eac7ec3e5196	WP_073391230.1	WP_073391230.1	Nyl10	Jatrophihabitans endophyticus	285		
m0407	df38ea060b5dad0dfc9a593e4dce333c	A0A0K8P6T7	A0A0K8P6T7;WP_054022242.1	PETase	Ideonella sakaiensis 201-F6	290	1	3.40.50.1820
m0408	e0b91bc8063c1c7e94e918fcfd8cf2bc	A0A075B5G4	A0A075B5G4	HiC	Humicola insolens	194	2	3.40.50.1820
m0409	e0db2a4f62c16fd0850cb05f28dbe103	CCK74972.1	CCK74972.1;R4YKL9_OLEAN	PETase	Oleispira antarctica	310	1	3.40.50.1820
m0410	e125fba23d29946317aa25973b8c03cb	WP_104613137.1	WP_104613137.1	Enzyme 701	Thermobifida fusca	301	1	3.40.50.1820
m0411	e1a1ea6ee428462b281b661258d4bb19	WP_104739856.1	WP_104739856.1	APET-27	Halopseudomonas oceani	288		
m0412	e33e8b6636c423c0a7bb6aea68306978	A0A7W0NYQ1	A0A7W0NYQ1	Nyl72	Acidimicrobiia bacterium	292		
m0413	e422c7b9aabe1a23f75d15bd35cf71a6	BBP47208	BBP47208.1;BBP47208; XP_036664376	CPUTNase	Candida parapsilosis NBRC 708	551	10	3.90.1300.10
m0414	e44d2abc0169b043201fff28f40feeb9	KZY99137.1	KZY99137.1	APET-32	Oleibacter sp. HI0075	292		
m0415	e49911a7e5738e9056e9fb9c5a9aa7ae	BAA76305.1	BAA76305.1	PudA	Comamonas acidovorans TB-35	548	23	3.40.50.1820
m0416	e4d76d3d7e6833a775f7b2770ac87c6b	A0A368EC02	A0A368EC02	Nyl34	SAR116 cluster bacterium	304		
m0417	e517914dc89db0a2eedf86b6f66bf60c	OP972511	OP972511;WBR49958	UMG-SP-3	Metagenome	439	10	3.90.1300.10
m0418	e525d1329e534ccfe83308865ef3fa06	MTK05241.1	MTK05241.1	ESM173	Micromonospora sp. CP22	449		
m0419	e5571e8fd143e90bd5db0ca52ce67226	DAC80635	DAC80635;DAC80635.1	SM14; SM14est	Streptomyces sp.	284	1	3.40.50.1820
m0420	e56db99e4a0ff79df4c68a9972670396	WP_019629726.1	WP_019629726.1	APET-15	Actinomadura atramentaria	285		
m0421	e58fe1dc5273be59865137941bcdaa35	CAA26616.1	CAA26616.1	NylB'	Paenarthrobacter ureafaciens	392		
m0422	e5a559b306f8a40b94d6844216b41307	WP_041846030	WP_041846030;WP_041846030.1	Est11_32	Caldibacillus thermoamylovorans	256	37	3.40.50.1820
m0423	e65e54bed8b506d0ddf1f5164bf29425	ADV92526.1	ADV92526.1;E9LVH8	Thc_cut1	Thermobifida cellulosilytica DSM44535	262	1	3.40.50.1820
m0424	e6c1800b97f5f0184a1dd73540deb95a	SAY37583.1	SAY37583.1	PHL-31	Compost metagenome	259	1	3.40.50.1820
m0425	e6c65f28982cd50933de3173d5a6959d	WP_161104454.1	WP_161104454.1	DP054	Actinomadura rayongensis	295		
m0426	e6cfd2897ec399a6f1d3ec1c6a98cdb7	WP_039353427	WP_039353427;WP_039353427.1	PET30	Kaistella (Chryseobacterium) jeonii	366	1	3.40.50.1820
m0427	e7456e8fab716e570d81b4e7665698f5	WP_075737041.1	WP_075737041.1	1496	Streptomyces acidiscabies	304		
m0428	e7d1a404d6aeb48e1849f68fefcf018f	WP_067035690.1	WP_067035690.1	1876	Streptomyces dysideae	423		
m0429	e9d33ca1cec72c417998b92e1bde3263	UFE15761.1	UFE15761.1	Lcp2	Microtetraspora sp. AC03309	409		
m0430	ea7a24d47eff2487f1491b3ad67cce64	A0A060N5H2	A0A060N5H2;BAN42606.1	CmCut	Cryptococcus magnus	226	2	3.40.50.1820
m0431	eaea73ed1586531b0f860ec8e714f64e	BAA19791.1	BAA19791.1	PhaZcac		494		
m0432	eba0373101b5f637e985de667b0b86e7	GGO06455.1	GGO06455.1	TEP061	Microbispora rosea subsp. aerata	296		
m0433	ebab773a50031e4f18dfa532f93c9379	WP_088988822.1	WP_088988822.1	1621	Micromonospora chokoriensis	465		
m0434	ebd22bc012fd6e181f43bc728b85dc79	NYLC_FLASK	NYLC_FLASK;WP_012476895.1	NylC	Paenarthrobacter ureafaciens K172	355	9	3.60.70.12
m0435	ec1108b84e036f58c2b72e2c1fcd594e	WP_143447025.1	WP_143447025.1	KaPETase	Kibdelosporangium aridum	286		
m0436	ec89fcce3f831d4efa72c84c4ac889ee	CAA24927.1	CAA24927.1;NYLB_FLASK	NylB	Paenarthrobacter ureafaciens K172	392	42	3.40.710.10
m0437	ece8f45d57141ab0f29280d76fc2a9b7	WP_116813002.1	WP_116813002.1	247	Steroidobacter cummioxidans	288		
m0438	ee0092b4288da1c69a59e16f2b702cdf	ACC95208.1	ACC95208.1	PET2; lipIAF5-2	Metagenome	308	1	3.40.50.1820
m0439	ee65196da3cdd70d808c0f9ce2241ace	WP_091317053.1	WP_091317053.1	ESM167	Amycolatopsis tolypomycina	309		
m0440	ee6b0a11b080383c4383a93312d4003e	A0A3M1X2K7	A0A3M1X2K7	Nyl40	Deltaproteobacteria bacterium	322		
m0441	ee81132e0d2e864d7ce91cabcdfc1cf4	A0A432H965	A0A432H965	Nyl44	Deltaproteobacteria bacterium	326		
m0442	eeae01ba76427bc51c141cb43ccba7fd	WP_116180173.1	WP_116180173.1	Kubu-P	Kutzneria buriramensis	288		
m0443	ef08656ab980fbd8c17fe79b6060a681	SJZ42839.1	SJZ42839.1;WP_078759821.1	MtCut; Enzyme 606	Marinactinospora thermotolerans	311	1	3.40.50.1820
m0444	ef0ce8fcf0fe89871330b7d41cec0e7b	WP_101893509.1	WP_101893509.1	Enzyme 409	Ketobacter sp.	283	1	3.40.50.1820
m0445	ef202661c7e74e69a79dbd3c290e1b5b	A0A6I1QW75	A0A6I1QW75	Nyl60	Dehalococcoidia bacterium	325		
m0446	f00445f8b289d0164aff442192f24187	WP_103939557.1	WP_103939557.1	PC3	Thermomonospora echinospora	292		
m0447	f0c7dd480618fe5d7346e71180cd108d	WP_164449727.1	WP_164449727.1	TEP010	Verrucosispora sioxanthis	432		
m0448	f0ef5b5426c1171b0f229df593d4d810	P20261	P20261	Lip1; Lip5	Diutina (Candida) rugosa	549	23	3.40.50.1820
m0449	f21de0ea2dcb603946ac9638d3076b59	AKZ20828.1	AKZ20828.1	Cbotu_EstA	Clostridium botulinum ATCC3502	452	25	3.40.50.1820
m0450	f2230dff660f44612d863d5256b21d66	WP_084261341.1	WP_084261341.1	ESM080	Micromonospora rifamycinica	473		
m0451	f246639aef84a3e6be3c89eac9b2dfbf	WP_112669767.1	WP_112669767.1	1620	Micromonospora saelicesensis	461		
m0452	f2a58e1db1245fbca5aba50020c17682	WP_203812622.1	WP_203812622.1	ESM156	Paractinoplanes tereljensis	293		
m0453	f2e235a71b5ce3ac861bb6b70e9c8fef	MBF9135495.1	MBF9135495.1	ESM061	Plantactinospora alkalitolerans	346		
m0454	f3019f8a82e15ef9ac9ed61f6a611c97	Q0K4D5	Q0K4D5;WP_011616504.1	PhaZ3	Cuprivadus necator ATC17699	412	3	3.40.50.1820
m0455	f382d762cf0b0bafd3934f5417accc62	WP_203847453.1	WP_203847453.1	APET-26	Dactylosporangium siamense	268		
m0456	f50fd2a3843ce155233b360ab9cded21	WP_167521412.1	WP_167521412.1	ESM010	Microbispora sp. (multispecies)	475		
m0457	f5ac2c525370f659e6c1b4fc71e16ce1	SAY37589	SAY37589;SAY37589.1	PHL-61	Compost metagenome	257	1	3.40.50.1820
m0458	f768e32a79d0b17b006886911c31b36d	WID88783	WID88783;WID88783.1	Dkca1	Dietzia kunjamensis	462	23	3.40.50.1820
m0459	f78eb617d08e5260c3365650f70fcad8	WP_233604767.1	WP_233604767.1	TEP165	Micromonospora sp. HM5-17	442		
m0460	f7e864f6573eccaba6017448237af700	P52956	P52956;XP_001817153.1	CutL1	Aspergillus oryzae ATCC42149	213	2	3.40.50.1820
m0461	f85c8564f510148807a599ea6a5cf433	WP_123685830.1	WP_123685830.1	414	Amycolatopsis bacterium	289		
m0462	f972c4fe64b984d09a783a3fcdfb3199	Q0K9H3	Q0K9H3;WP_011615575.1	PhaY1	Cuprivadus necator ATC17699	718	28	3.40.50.1820
m0463	faf6984f2f1464301a6db7313145d9f3	WP_014810472.1	WP_014810472.1	Nyl82	Desulfomonile tiedjei	334		
m0464	fb2204e84d7a9a86df947cd20e179223	WP_199199185.1	WP_199199185.1	ESM139	Amycolatopsis sp. CA-128772	339		
m0465	fb68a33e966a9f713281583d4f5d357b	WP_117215036.1	WP_117215036.1	Enzyme 407	Allorhizocoloa rhizosphaerae	434	1	3.40.50.1820
m0466	fb6cb498ca713c8ff665a94eeaeab29f	WP_086668955.1	WP_086668955.1	1475	Lentzea kentuckyensis	375		
m0467	fbbad91070ae99aa6eed1595044335d5	WP_124770494.1	WP_124770494.1	1571	Micromonospora inaquosa	329		
m0468	fbdf1fd8bb136bc1f27b76dfedecd095	WP_181548579.1	WP_181548579.1	ESM069	Micromonospora saelicesensis	443		
m0469	fcafc8f695c58e71718b19c1a7c315ba	N20M5AZM016	N20M5AZM016	PE-H; B7O88_11480	Halopseudomonas aestusnigri VGXO14	258	20	3.40.50.1820
m0470	fceeefb59ad5e778ca5e914e61d0c945	P00761.1	P00761.1	Trypsin	Sus scrofa	231		
m0471	fd6fe4eecb575bbb51d49f121a523532	SDZ16714.1	SDZ16714.1	Mipa-P	Micromonospora pattaloongensis	294		
m0472	fe08eef9c8f87d7d57af2914ff906b14	OK558824	OK558824;UUT36763	PLE628	Marinobacter sp.	316	1	3.40.50.1820
m0473	fe1766a388c03c1e83be5dd8c749ba4b	L0EF70	L0EF70;WP_015255658	Tcca	Thermobacillus composti KWC4	508	23	3.40.50.1820
m0474	fe31253f406d9725da382e4a9e67d782	YNPsite06_CeleraDRAFT_160970	YNPsite06_CeleraDRAFT_160970	Enzyme 214 like	Metagenome	456	1	3.40.50.1820
m0475	fe354046ad936ac3305fe124cc0c4bcc	WP_125313231.1	WP_125313231.1	PC4	Amycolatopsis eburnea	309		
m0476	fea43b060eb31c4f0bf3beb4b1f9e521	WP_075885500.1	WP_075885500.1	Nyl13	Faecalibaculum rodentium	324		
