node_id	sequence_md5	accession	accession_all	enzyme_name	enzyme_name_all	organism	sequence_length	n_source_rows	v1_component	cath
m0383	cbe6e6c036ad8643698609d6a197ff5d	BAC67195.1	BAC67195.1	PLaA	PLaA	Paenibacillus amylolyticus	201	1	26	3.40.50.1820
m0384	ccec191e60e12d1782682af2211d9640	WP_185053500	WP_185053500	TtA	TtA	Thermocatellispora tengchongensis	471	1	10	3.90.1300.10
m0385	cd3efa9108622a39c229634066ce0292	BAC67242.1	BAC67242.1	Cutinase	Cutinase	Cryptococcus sp. S-2	239	1	2	3.40.50.1820
m0386	cefc6b105a243397b6a039e186c6c27b	WP_141569747.1	WP_141569747.1	1478	1478	Streptomyces ipomoeae	331	1		
m0387	cf88b3e711edffd341ba052fb3365c25	CBY05530	CBY05530	TfCut_2	TfCut_2	Thermobifida fusca	261	1	1	3.40.50.1820
m0388	d03a36b0671215d716f1df2ade24268f	WP_118011433.1	WP_118011433.1	HG-2	HG-2	Holdemanella biformis	259	1	1	3.40.50.1820
m0389	d09446e7bab13e062244cd0babc73a84	WP_073887759.1	WP_073887759.1	1465	1465	Saccharothrix sp. CB00851	415	1		
m0390	d0cd1d061b574c3e97321300be9b3c6e	WP_120326365.1	WP_120326365.1	486	486	Micromonospora globbae	300	1		
m0391	d1aa8fa7800d986fee5acab07614bd0d	WAU86704	WAU86704	PET40	PET40	Amycolatopsis bacterium	263	1	1	3.40.50.1820
m0392	d2d63d5f8721e814ea2a657ecc8fe703	WP_082377728.1	WP_082377728.1	1534	1534	Micromonospora sp. NRRL B-16802	469	1		
m0393	d357a79e14b6376e4d3557864252bfe8	AAZ54920.1	AAZ54920.1;AET05798.1	Cut1	Cut1;Tfu_0882	Thermobifida fusca	319	2	1	3.40.50.1820
m0394	d39f4e4eb5bc5b5de87a6807337446ec	BAG32152.1	BAG32152.1	PHB depolymerase	PHB depolymerase	Talaromyces funiculosus	339	1	27	3.40.50.1820
m0395	d3daf5d62100e8ce832f8dde87008494	GIU85367.1	GIU85367.1	ESM050	ESM050	Acidimicrobiales bacterium	276	1		
m0396	d4376d2f4006abaa992a58c321df357d	WP_125191182.1	WP_125191182.1	1477	1477	Streptomyces sp. RP5T	315	1		
m0397	d45af0ae492f2a5ff717aac22e783527	WP_250563816.1	WP_250563816.1	TEP194	TEP194	Sphaerisporangium fuscum	277	1		
m0398	d46d1c755303a13d2a19d9393a49d2f7	AAA33335.1	AAA33335.1	FsC	FsC	Fusarium solani	230	1	2	3.40.50.1820
m0399	d5a5677d777e4a427d908bb7cedd98df	WP_264933993.1	WP_264933993.1	TEP024	TEP024	Streptomyces sp. A012304	455	1		
m0400	d5d535a4628f661aac624e4bf67a6739	WP_124822775.1	WP_124822775.1	1611	1611	Micromonospora ureilytica	465	1		
m0401	d5df0a16c2eaa48e8fab4f9997684475	WP_269740835.1	WP_269740835.1	ESM128	ESM128	Verrucosispora sp. WMMA2121	299	1		
m0402	d67ede223c06bbb9c7903735558b4123	AGT96415.1	AGT96415.1	MGS0109	MGS0109	Marine metagenome	314	1	1	3.40.50.1820
m0403	d6bebd05cc2bbecb20e2248f69ec70d0			204	204		250	1		
m0404	d78ca54fff3eddbc5a27aec8c337f94f			ApLip-Ec	ApLip-Ec		279	1	1	3.40.50.1820
m0405	d79cf5b4d590dd725f813e9a110c9f14	MCF0091346.1	MCF0091346.1	ESM130	ESM130	Micromonospora sp. MH99	469	1		
m0406	d887c31f2cd02dc21c2c52c61d02bd31	WP_103564314.1	WP_103564314.1	1340	1340	Actinomadura rubteroloni	298	1		
m0407	d8bf4c4b8965f1f5509d077b1db637c5	BAF57214.1	BAF57214.1	PlaM9	PlaM9	PLA disk compost metagenome	338	1	40	3.40.50.1820
m0408	d8c880a8e19c3f44b32d639747b57222	WP_139584963.1	WP_139584963.1	1642	1642	Micromonospora orduensis	465	1		
m0409	d91b645ebea282e1c771123a7abe685f	WP_011209364.1	WP_011209364.1	Arylacylamidase	Arylacylamidase	Nocardia farcinica	479	1	10	3.90.1300.10
m0410	da74b7409b4c0618cc66c7787e557585	AAD22743.1	AAD22743.1	LipasePueA	LipasePueA	Pseudomonas chlororaphis	617	1	4	3.40.50.1820
m0411	dab2da810add966a777bb8c243da293b	Q99174	Q99174	FSC	FSC	Fusarium solani	230	1	2	3.40.50.1820
m0412	dbb69c16a79774a1a51b4b80a8f1bd63	WP_083302694.1	WP_083302694.1	1594	1594	Micromonospora carbonacea	463	1		
m0413	dcdd75a330b1680da8c69fade4d72aab	WP_132183354.1	WP_132183354.1	1493	1493	Micromonospora sp. KC606	454	1		
m0414	dd4887803543f9fc859e835391eb4af2	WP_107095481.1	WP_107095481.1	607	607	Actinobacteria bacterium OV320	271	1		
m0415	dd7528addd91f972769d7e42c16b53cd	AAA33742.1	AAA33742.1	MnP	MnP		378	1		
m0416	de5188fe17cc9552eecfc6b69179e19d	ALS54749.1	ALS54749.1	Chath_Est1	Chath_Est1	Clostridium hathewayi DSM-13479	520	1	23	3.40.50.1820
m0417	de58930843f53b731bc34d03f729488d	WP_090538641	WP_090538641	Hfor_PE-H	Hfor_PE-H	Halopseudomonas formosensis	304	1	1	3.40.50.1820
m0418	de7fd3cae353ad8fabd922f83140376c	AKJ87216	AKJ87216	GEN0105	GEN0105	Environmental metagenome	322	1	23	3.40.50.1820
m0419	dea4da8f4f93db0b2277eac7ec3e5196	WP_073391230.1	WP_073391230.1	Nyl10	Nyl10	Jatrophihabitans endophyticus	285	1		
m0420	df38ea060b5dad0dfc9a593e4dce333c	WP_054022242.1	WP_054022242.1	ISPETase	ISPETase	Piscinibacter sakaiensis	290	1	1	3.40.50.1820
m0421	e0b91bc8063c1c7e94e918fcfd8cf2bc	A0A075B5G4	A0A075B5G4	HiC	HiC	Mycothermus thermophilus	194	1	2	3.40.50.1820
m0422	e0db2a4f62c16fd0850cb05f28dbe103	CCK74972.1	CCK74972.1	PET5	PET5	Oleispira antarctica	310	1	1	3.40.50.1820
m0423	e125fba23d29946317aa25973b8c03cb	WP_104613137.1	WP_104613137.1	701	701	Thermobifida fusca	301	1	1	3.40.50.1820
m0424	e1a1ea6ee428462b281b661258d4bb19	WP_104739856.1	WP_104739856.1	APET-27	APET-27	Halopseudomonas oceani	288	1		
m0425	e33e8b6636c423c0a7bb6aea68306978	A0A7W0NYQ1	A0A7W0NYQ1	Nyl72	Nyl72	Acidimicrobiia bacterium	292	1		
m0426	e422c7b9aabe1a23f75d15bd35cf71a6	BBP47208.1	BBP47208.1	CPUTNase	CPUTNase	Candida parapsilosis	551	1	10	3.90.1300.10
m0427	e44d2abc0169b043201fff28f40feeb9	KZY99137.1	KZY99137.1	APET-32	APET-32	Oleibacter sp. HI0075	292	1		
m0428	e49911a7e5738e9056e9fb9c5a9aa7ae	BAA76305.1	BAA76305.1	PudA	PudA	Delftia acidovorans	548	1	23	3.40.50.1820
m0429	e4d76d3d7e6833a775f7b2770ac87c6b	A0A368EC02	A0A368EC02	Nyl34	Nyl34	SAR116 cluster bacterium	304	1		
m0430	e517914dc89db0a2eedf86b6f66bf60c	WBR49958.1	WBR49958.1	UMG-SP-3	UMG-SP-3	Metagenome	439	1	10	3.90.1300.10
m0431	e525d1329e534ccfe83308865ef3fa06	MTK05241.1	MTK05241.1	ESM173	ESM173	Micromonospora sp. CP22	449	1		
m0432	e5571e8fd143e90bd5db0ca52ce67226	DAC80635.1	DAC80635.1	SM14est	SM14est	Streptomyces sp. SM14	284	1	1	3.40.50.1820
m0433	e56db99e4a0ff79df4c68a9972670396	WP_019629726.1	WP_019629726.1	APET-15	APET-15	Actinomadura atramentaria	285	1		
m0434	e58fe1dc5273be59865137941bcdaa35	CAA26616.1	CAA26616.1	NylB'	NylB'	Paenarthrobacter ureafaciens	392	1		
m0435	e5a559b306f8a40b94d6844216b41307	WP_041846030	WP_041846030	Est11_32	Est11_32	Caldibacillus thermoamylovorans	256	1	37	3.40.50.1820
m0436	e65e54bed8b506d0ddf1f5164bf29425	ADV92526.1	ADV92526.1	Thc_Cut1	Thc_Cut1	Thermobifida cellulosilytica	262	1	1	3.40.50.1820
m0437	e6c1800b97f5f0184a1dd73540deb95a	SAY37583.1	SAY37583.1	PHL-3	PHL-3	Compost metagenome	259	1	1	3.40.50.1820
m0438	e6c65f28982cd50933de3173d5a6959d	WP_161104454.1	WP_161104454.1	DP054	DP054	Actinomadura rayongensis	295	1		
m0439	e6cfd2897ec399a6f1d3ec1c6a98cdb7	WP_039353427.1	WP_039353427.1	PET30	PET30	Kaistella jeonii	366	1	1	3.40.50.1820
m0440	e7456e8fab716e570d81b4e7665698f5	WP_075737041.1	WP_075737041.1	1496	1496	Streptomyces acidiscabies	304	1		
m0441	e7d1a404d6aeb48e1849f68fefcf018f	WP_067035690.1	WP_067035690.1	1876	1876	Streptomyces dysideae	423	1		
m0442	e8b2c742a4aaae248ea974667fac5dd6			dsPETase01	dsPETase01		287	1		
m0443	e9d33ca1cec72c417998b92e1bde3263	UFE15761.1	UFE15761.1	Lcp2	Lcp2	Microtetraspora sp. AC03309	409	1		
m0444	ea7a24d47eff2487f1491b3ad67cce64	BAN42606.1	BAN42606.1	CmCut	CmCut	Filobasidium magnum	226	1	2	3.40.50.1820
m0445	eaea73ed1586531b0f860ec8e714f64e	BAA19791.1	BAA19791.1	PhaZcac	PhaZcac		494	1		
m0446	eb083b03c764314dd374fe8c25f98488			211	211		272	1		
m0447	eba0373101b5f637e985de667b0b86e7	GGO06455.1	GGO06455.1	TEP061	TEP061	Microbispora rosea subsp. aerata	296	1		
m0448	ebab773a50031e4f18dfa532f93c9379	WP_088988822.1	WP_088988822.1	1621	1621	Micromonospora chokoriensis	465	1		
m0449	ebd22bc012fd6e181f43bc728b85dc79	WP_012476895.1	WP_012476895.1	NylC	NylC	Paenarthrobacter ureafaciens	355	1	9	3.60.70.12
m0450	ec1108b84e036f58c2b72e2c1fcd594e	WP_143447025.1	WP_143447025.1	KaPETase	KaPETase	Kibdelosporangium aridum	286	1		
m0451	ec89fcce3f831d4efa72c84c4ac889ee	CAA24927.1	CAA24927.1	NylB	NylB	Paenarthrobacter ureafaciens	392	1	42	3.40.710.10
m0452	ece8f45d57141ab0f29280d76fc2a9b7	WP_116813002.1	WP_116813002.1	247	247	Steroidobacter cummioxidans	288	1		
m0453	ee0092b4288da1c69a59e16f2b702cdf	ACC95208.1	ACC95208.1	PET2	PET2	Metagenome-derived with  no obvious affiliation	308	1	1	3.40.50.1820
m0454	ee65196da3cdd70d808c0f9ce2241ace	WP_091317053.1	WP_091317053.1	ESM167	ESM167	Amycolatopsis tolypomycina	309	1		
m0455	ee6b0a11b080383c4383a93312d4003e	A0A3M1X2K7	A0A3M1X2K7	Nyl40	Nyl40	Deltaproteobacteria bacterium	322	1		
m0456	ee81132e0d2e864d7ce91cabcdfc1cf4	A0A432H965	A0A432H965	Nyl44	Nyl44	Deltaproteobacteria bacterium	326	1		
m0457	eeae01ba76427bc51c141cb43ccba7fd	WP_116180173.1	WP_116180173.1	Kubu-P	Kubu-P	Kutzneria buriramensis	288	1		
m0458	ef08656ab980fbd8c17fe79b6060a681	SJZ42839.1	SJZ42839.1	606	606	Marinactinospora thermotolerans	311	1	1	3.40.50.1820
m0459	ef202661c7e74e69a79dbd3c290e1b5b	A0A6I1QW75	A0A6I1QW75	Nyl60	Nyl60	Dehalococcoidia bacterium	325	1		
m0460	f00445f8b289d0164aff442192f24187	WP_103939557.1	WP_103939557.1	PC3	PC3	Thermomonospora echinospora	292	1		
m0461	f0c7dd480618fe5d7346e71180cd108d	WP_164449727.1	WP_164449727.1	TEP010	TEP010	Verrucosispora sioxanthis	432	1		
m0462	f0ef5b5426c1171b0f229df593d4d810	P20261.3	P20261.3	Lip1; Lip5	Lip1; Lip5	Diutina (Candida) rugosa	549	1	23	3.40.50.1820
m0463	f21de0ea2dcb603946ac9638d3076b59	AKZ20828.1	AKZ20828.1	Cbotu_EstA	Cbotu_EstA	Clostridium botulinum	452	1	25	3.40.50.1820
m0464	f2230dff660f44612d863d5256b21d66	WP_084261341.1	WP_084261341.1	ESM080	ESM080	Micromonospora rifamycinica	473	1		
m0465	f246639aef84a3e6be3c89eac9b2dfbf	WP_112669767.1	WP_112669767.1	1620	1620	Micromonospora saelicesensis	461	1		
m0466	f2a58e1db1245fbca5aba50020c17682	WP_203812622.1	WP_203812622.1	ESM156	ESM156	Paractinoplanes tereljensis	293	1		
m0467	f2e235a71b5ce3ac861bb6b70e9c8fef	MBF9135495.1	MBF9135495.1	ESM061	ESM061	Plantactinospora alkalitolerans	346	1		
m0468	f3019f8a82e15ef9ac9ed61f6a611c97	WP_011616504.1	WP_011616504.1	PhaZ3	PhaZ3	Cupriavidus necator	412	1	3	3.40.50.1820
m0469	f382d762cf0b0bafd3934f5417accc62	WP_203847453.1	WP_203847453.1	APET-26	APET-26	Dactylosporangium siamense	268	1		
m0470	f50fd2a3843ce155233b360ab9cded21	WP_167521412.1	WP_167521412.1	ESM010	ESM010	Microbispora sp. (multispecies)	475	1		
m0471	f5ac2c525370f659e6c1b4fc71e16ce1	SAY37589	SAY37589	PHL-6	PHL-6	Compost metagenome	257	1	1	3.40.50.1820
m0472	f768e32a79d0b17b006886911c31b36d	WID88783	WID88783	Dkca1	Dkca1	Dietzia kunjamensis	462	1	23	3.40.50.1820
m0473	f78eb617d08e5260c3365650f70fcad8	WP_233604767.1	WP_233604767.1	TEP165	TEP165	Micromonospora sp. HM5-17	442	1		
m0474	f7e864f6573eccaba6017448237af700	XP_001817153.1	XP_001817153.1	CutL1	CutL1	Aspergillus oryzae	213	1	2	3.40.50.1820
m0475	f85c8564f510148807a599ea6a5cf433	WP_123685830.1	WP_123685830.1	414	414	Amycolatopsis bacterium	289	1		
m0476	f972c4fe64b984d09a783a3fcdfb3199	WP_011615575.1	WP_011615575.1	PhaY1(PhaZ2)	PhaY1(PhaZ2)	Cupriavidus necator	718	1	28	3.40.50.1820
m0477	faf6984f2f1464301a6db7313145d9f3	WP_014810472.1	WP_014810472.1	Nyl82	Nyl82	Desulfomonile tiedjei	334	1		
m0478	fb2204e84d7a9a86df947cd20e179223	WP_199199185.1	WP_199199185.1	ESM139	ESM139	Amycolatopsis sp. CA-128772	339	1		
m0479	fb6cb498ca713c8ff665a94eeaeab29f	WP_086668955.1	WP_086668955.1	1475	1475	Lentzea kentuckyensis	375	1		
m0480	fbbad91070ae99aa6eed1595044335d5	WP_124770494.1	WP_124770494.1	1571	1571	Micromonospora inaquosa	329	1		
m0481	fbdf1fd8bb136bc1f27b76dfedecd095	WP_181548579.1	WP_181548579.1	ESM069	ESM069	Micromonospora saelicesensis	443	1		
m0482	fcafc8f695c58e71718b19c1a7c315ba	2FX5	2FX5	PE-H; B7O88_11480	PE-H; B7O88_11480	Halopseudomonas aestusnigri VGXO14	258	1	20	3.40.50.1820
m0483	fceeefb59ad5e778ca5e914e61d0c945	P00761.1	P00761.1	Trypsin	Trypsin	Sus scrofa	231	1		
m0484	fd6fe4eecb575bbb51d49f121a523532	SDZ16714.1	SDZ16714.1	Mipa-P	Mipa-P	Micromonospora pattaloongensis	294	1		
m0485	fe0739cd12d95ca737e594fe187ece7d			202	202		388	1		
m0486	fe08eef9c8f87d7d57af2914ff906b14	UUT36763	UUT36763	PLE629	PLE629	Marinobacter sp.	316	1	1	3.40.50.1820
m0487	fe1766a388c03c1e83be5dd8c749ba4b	WP_015255658	WP_015255658	Tcca	Tcca	Thermobacillus composti	508	1	23	3.40.50.1820
m0488	fe354046ad936ac3305fe124cc0c4bcc	WP_125313231.1	WP_125313231.1	PC4	PC4	Amycolatopsis eburnea	309	1		
m0489	fea43b060eb31c4f0bf3beb4b1f9e521	WP_075885500.1	WP_075885500.1	Nyl13	Nyl13	Faecalibaculum rodentium	324	1		
