n213	n163	25.9	9.93	21
n108	n41	25.2	0.155	28
n108	n42	25.4	0.265	27
n108	n43	26.0	0.346	27
n108	n92	27.1	0.77	25
n108	n3	23.2	0.77	25
n108	n33	27.3	0.77	25
n108	n11	26.8	1.72	24
n108	n8	26.8	1.72	24
n108	n44	26.8	1.72	24
n108	n46	26.8	1.72	24
n108	n15	26.8	1.72	24
n108	n30	26.8	1.72	24
n108	n96	45.2	4.99	23
n108	n63	40.7	8.51	22
n107	n106	58.1	1.89e-107	379
n107	n100	32.5	6.22e-26	108
n107	n99	31.7	1.82e-09	54
n107	n105	30.8	2.62e-08	50
n107	n103	26.7	4.95e-07	45
n107	n104	24.6	1.88e-06	44
n107	n102	23.2	2.72e-05	40
n107	n3	23.4	0.000669	35
n107	n41	22.9	0.00195	33
n107	n35	21.8	0.00254	33
n107	n5	26.6	0.00434	32
n107	n72	24.2	0.00966	31
n107	n69	21.9	0.0215	30
n107	n22	23.4	0.0818	28
n107	n27	23.4	0.0818	28
n107	n23	24.7	0.139	27
n107	n51	23.4	0.238	27
n107	n45	25.8	0.311	26
n107	n34	28.4	0.311	26
n107	n31	25.8	0.311	26
n107	n64	34.4	0.311	26
n107	n14	25.8	0.311	26
n107	n25	26.4	0.311	26
n107	n12	25.8	0.311	26
n107	n29	26.7	0.406	26
n107	n18	25.2	0.692	25
n107	n81	33.7	0.904	25
n107	n6	36.8	0.904	25
n107	n57	62.5	1.18	24
n107	n56	62.5	1.18	24
n107	n83	56.5	1.18	24
n107	n10	36.4	1.18	24
n107	n55	52.2	2.01	23
n107	n42	36.6	3.44	23
n107	n91	47.4	4.49	22
n107	n33	31.0	4.49	22
n107	n52	29.1	4.49	22
n107	n53	50.0	5.86	22
n107	n70	50.0	5.86	22
n107	n8	41.7	7.65	22
n107	n13	41.7	7.65	22
n107	n11	41.7	7.65	22
n107	n46	41.7	7.65	22
n107	n44	41.7	7.65	22
n107	n80	41.7	7.65	22
n107	n62	34.7	7.65	22
n107	n26	41.7	7.65	22
n107	n15	41.7	7.65	22
n107	n43	38.5	7.65	22
n107	n30	41.7	7.65	22
n107	n63	40.9	10	21
n106	n100	29.5	5.38e-22	95
n106	n99	30.5	8.06e-10	55
n106	n102	27.7	6.82e-09	52
n106	n103	32.6	8.91e-09	51
n106	n104	26.0	1.68e-07	47
n106	n105	30.5	4.89e-07	45
n106	n34	23.3	0.307	26
n106	n35	26.4	0.523	25
n106	n3	26.4	0.893	25
n106	n69	32.4	4.43	22
n106	n24	54.5	9.87	21
n106	n56	52.2	9.87	21
n106	n57	52.2	9.87	21
n105	n61	31.2	1.93e-05	40
n105	n99	26.8	2.52e-05	40
n105	n63	29.1	7.33e-05	38
n105	n56	35.4	0.000125	37
n105	n57	34.2	0.000213	37
n105	n35	26.5	0.000213	37
n105	n3	24.7	0.000279	36
n105	n60	28.9	0.000364	36
n105	n55	34.2	0.000364	36
n105	n78	25.0	0.000621	35
n105	n18	25.6	0.00106	34
n105	n37	32.7	0.00181	33
n105	n19	25.6	0.00308	33
n105	n101	22.4	0.00402	32
n105	n73	28.3	0.00525	32
n105	n96	34.0	0.02	30
n105	n2	26.9	0.0445	29
n105	n36	26.8	0.0445	29
n105	n54	26.9	0.0445	29
n105	n49	29.1	0.0581	28
n105	n43	32.8	0.0991	28
n105	n3	30.4	0.129	27
n105	n93	23.2	0.492	25
n105	n81	25.0	2.44	23
n104	n102	29.1	1.76e-44	171
n104	n99	34.8	2.01e-40	157
n104	n103	28.4	3.22e-38	150
n104	n101	26.0	4.36e-27	113
n103	n99	36.5	5.67e-76	275
n103	n102	37.2	9.05e-74	268
n103	n101	28.2	2.74e-46	177
n103	n67	27.1	2.78e-06	44
n102	n99	35.3	4.16e-62	229
n102	n101	32.6	2.39e-25	107
n102	n100	29.7	0.000883	35
n101	n99	33.2	2.24e-65	240
n100	n31	30.8	0.00978	31
n100	n45	30.8	0.00978	31
n100	n12	30.8	0.00978	31
n100	n14	30.8	0.00978	31
n100	n15	33.8	0.315	26
n100	n11	33.8	0.315	26
n100	n8	33.8	0.315	26
n100	n30	33.8	0.315	26
n100	n44	33.8	0.315	26
n100	n46	33.8	0.315	26
n100	n53	31.0	2.04	23
n100	n62	24.6	7.75	22
n100	n96	47.6	7.75	22
n99	n91	27.3	1.06	25
n99	n3	37.2	6.9	22
n98	n97	33.3	2.43e-10	56
n98	n62	22.8	0.00838	31
n98	n48	22.0	0.0109	31
n98	n85	27.3	0.0143	30
n98	n96	29.6	0.0187	30
n98	n6	22.4	0.0319	29
n98	n17	23.3	0.0927	28
n98	n2	28.0	0.158	27
n98	n54	26.7	0.46	25
n98	n6	55.0	0.601	25
n98	n78	23.7	0.785	25
n98	n39	26.2	1.02	24
n98	n5	26.6	1.34	24
n98	n18	22.5	1.34	24
n98	n16	26.9	5.09	22
n98	n1	26.9	8.68	21
n98	n5	87.5	8.68	21
n97	n96	30.2	5.58e-12	62
n97	n49	28.7	4.89e-08	49
n97	n37	28.1	1.02e-05	41
n97	n85	29.1	3.87e-05	39
n97	n72	24.1	0.000251	36
n97	n78	29.5	0.000954	34
n97	n65	27.8	0.00163	33
n97	n2	31.3	0.00163	33
n97	n54	31.3	0.00163	33
n97	n24	29.0	0.00474	32
n97	n18	26.6	0.00808	31
n97	n20	28.3	0.0138	30
n97	n76	23.6	0.0235	30
n97	n22	28.0	0.0307	29
n97	n27	28.0	0.0307	29
n97	n23	28.0	0.0307	29
n97	n74	27.8	0.0307	29
n97	n42	30.1	0.0401	29
n97	n73	28.4	0.0524	28
n97	n61	24.7	0.117	27
n97	n34	29.4	0.117	27
n97	n19	22.4	0.26	26
n97	n51	25.0	0.26	26
n97	n60	22.4	0.339	26
n97	n33	29.4	0.756	25
n97	n83	24.0	0.988	24
n97	n63	24.5	2.2	23
n96	n13	38.1	0.00133	34
n96	n29	38.1	0.00133	34
n96	n27	34.0	0.00133	34
n96	n45	38.1	0.00133	34
n96	n14	38.1	0.00133	34
n96	n31	38.1	0.00133	34
n96	n25	38.1	0.00133	34
n96	n22	34.0	0.00133	34
n96	n12	38.1	0.00133	34
n96	n80	38.1	0.00133	34
n96	n78	30.1	0.00226	33
n96	n11	35.7	0.00295	33
n96	n46	35.7	0.00295	33
n96	n26	35.7	0.00295	33
n96	n23	34.0	0.00295	33
n96	n30	35.7	0.00295	33
n96	n44	35.7	0.00295	33
n96	n15	35.7	0.00295	33
n96	n8	35.7	0.00295	33
n96	n10	35.7	0.00295	33
n96	n85	37.5	0.00386	32
n96	n53	34.0	0.00504	32
n96	n19	23.2	0.00658	32
n96	n74	33.3	0.0086	31
n96	n81	30.4	0.0086	31
n96	n32	27.1	0.0086	31
n96	n5	26.1	0.0112	31
n96	n54	26.7	0.0112	31
n96	n2	26.5	0.0112	31
n96	n52	19.9	0.0112	31
n96	n59	33.3	0.0147	30
n96	n60	34.0	0.0147	30
n96	n9	36.4	0.0191	30
n96	n6	29.2	0.025	30
n96	n64	20.5	0.025	30
n96	n62	23.6	0.0327	29
n96	n35	27.7	0.0327	29
n96	n7	31.3	0.0327	29
n96	n3	27.7	0.0427	29
n96	n16	31.0	0.0557	28
n96	n42	28.6	0.0557	28
n96	n36	28.6	0.095	28
n96	n76	28.7	0.095	28
n96	n61	31.9	0.124	27
n96	n66	29.9	0.212	27
n96	n68	32.7	0.277	26
n96	n71	31.0	0.361	26
n96	n89	29.9	0.472	25
n96	n51	28.6	0.616	25
n96	n77	33.3	0.805	25
n96	n51	21.4	0.805	25
n96	n1	25.5	1.05	24
n96	n18	26.2	1.37	24
n96	n86	28.6	1.79	23
n96	n47	25.5	3.99	22
n96	n39	30.8	3.99	22
n96	n21	25.5	3.99	22
n95	n94	98.1	1.99e-150	522
n95	n92	60.6	1.6e-91	326
n95	n91	49.8	3.26e-68	248
n95	n93	38.0	3.18e-39	152
n95	n1	25.4	0.031	29
n95	n42	24.3	0.0405	29
n95	n7	21.3	0.053	28
n95	n68	21.4	0.343	26
n95	n74	26.4	0.999	24
n95	n4	27.1	2.23	23
n95	n49	28.6	6.47	22
n94	n92	59.9	1.36e-90	323
n94	n91	49.1	2.11e-67	246
n94	n93	37.7	1.21e-38	150
n94	n7	20.5	0.154	27
n94	n68	20.6	0.999	24
n94	n74	26.3	1.3	24
n93	n91	33.5	1.01e-46	178
n93	n92	34.9	2.24e-46	176
n93	n52	28.8	0.0339	30
n93	n24	25.8	0.0339	30
n93	n53	26.9	0.0987	28
n93	n78	30.0	0.22	27
n93	n70	25.0	0.64	25
n93	n72	30.2	2.43	23
n93	n62	31.1	2.43	23
n93	n81	31.2	5.42	22
n93	n64	28.9	9.24	22
n92	n91	43.3	1.74e-75	273
n92	n33	29.9	0.217	27
n92	n34	29.9	0.217	27
n91	n63	24.2	0.099	28
n91	n34	26.3	0.288	27
n91	n70	51.9	1.09	25
n91	n33	28.4	1.87	24
n90	n88	29.1	4.28e-17	79
n90	n23	28.8	5.59e-17	78
n90	n7	28.7	1.63e-16	77
n90	n69	25.5	2.12e-16	76
n90	n70	28.6	2.77e-16	76
n90	n61	27.8	2.77e-16	76
n90	n6	29.9	8.07e-16	74
n90	n52	27.5	1.05e-15	74
n90	n74	27.3	1.38e-15	74
n90	n77	27.4	1.8e-15	73
n90	n68	27.1	1.8e-15	73
n90	n27	27.6	2.35e-15	73
n90	n22	27.6	2.35e-15	73
n90	n25	29.4	2.35e-15	73
n90	n64	29.5	3.07e-15	72
n90	n81	28.0	4.01e-15	72
n90	n53	27.0	4.01e-15	72
n90	n29	29.8	4.01e-15	72
n90	n24	27.6	5.23e-15	72
n90	n12	29.0	5.23e-15	72
n90	n14	29.0	5.23e-15	72
n90	n45	29.0	5.23e-15	72
n90	n31	29.0	5.23e-15	72
n90	n19	27.1	5.23e-15	72
n90	n60	26.6	6.83e-15	71
n90	n72	27.3	6.83e-15	71
n90	n66	26.6	6.83e-15	71
n90	n76	26.0	8.92e-15	71
n90	n32	28.0	1.17e-14	70
n90	n4	27.1	1.52e-14	70
n90	n89	28.5	2.6e-14	69
n90	n1	27.1	2.6e-14	69
n90	n86	26.6	5.78e-14	68
n90	n87	27.9	7.56e-14	68
n90	n36	26.4	9.87e-14	67
n90	n33	25.3	1.68e-13	67
n90	n8	26.7	2.2e-13	66
n90	n26	27.8	2.87e-13	66
n90	n80	27.8	3.75e-13	65
n90	n13	27.8	3.75e-13	65
n90	n5	25.5	4.9e-13	65
n90	n16	25.7	8.35e-13	64
n90	n78	28.4	1.09e-12	64
n90	n63	25.1	1.42e-12	64
n90	n83	26.6	1.42e-12	64
n90	n71	25.4	1.86e-12	63
n90	n9	26.2	2.43e-12	63
n90	n15	27.0	3.17e-12	62
n90	n30	27.0	3.17e-12	62
n90	n11	27.0	3.17e-12	62
n90	n44	27.0	3.17e-12	62
n90	n46	27.0	3.17e-12	62
n90	n59	25.9	5.41e-12	62
n90	n10	27.0	7.07e-12	61
n90	n62	26.2	9.24e-12	61
n90	n51	25.5	1.21e-11	60
n90	n28	26.2	1.21e-11	60
n90	n43	27.2	1.58e-11	60
n90	n73	25.2	1.58e-11	60
n90	n41	26.7	2.06e-11	60
n90	n34	24.5	2.69e-11	59
n90	n54	27.9	2.69e-11	59
n90	n21	25.6	3.51e-11	59
n90	n18	25.5	3.51e-11	59
n90	n47	25.6	3.51e-11	59
n90	n40	25.3	4.58e-11	59
n90	n67	25.9	4.58e-11	59
n90	n2	27.2	5.99e-11	58
n90	n20	25.1	2.27e-10	56
n90	n75	25.7	5.07e-10	55
n90	n42	25.2	6.62e-10	55
n90	n55	24.1	3.28e-09	52
n90	n57	24.3	3.28e-09	52
n90	n56	24.3	5.6e-09	52
n90	n58	26.8	9.56e-09	51
n90	n50	24.7	1.38e-07	47
n90	n82	23.4	4.02e-07	45
n90	n79	24.3	2.6e-06	43
n90	n38	21.9	0.000926	34
n89	n61	62.8	6.49e-113	397
n89	n77	63.2	3.56e-111	391
n89	n7	61.1	5.69e-109	384
n89	n19	61.2	9.7e-109	383
n89	n66	61.1	6.29e-108	381
n89	n68	60.7	6.29e-108	381
n89	n76	59.2	2.02e-106	376
n89	n51	61.8	3.23e-104	368
n89	n60	57.6	2.09e-103	366
n89	n36	56.0	3.34e-101	358
n89	n71	55.9	3.13e-99	352
n89	n86	59.1	7.7e-98	347
n89	n59	56.1	1.11e-96	343
n89	n20	51.2	3.59e-87	312
n89	n42	55.9	1.04e-86	310
n89	n4	49.7	3.97e-78	282
n89	n18	47.3	8.85e-78	280
n89	n1	53.2	1.08e-75	273
n89	n70	47.2	2.41e-75	272
n89	n41	47.6	1.56e-74	270
n89	n75	55.0	1.46e-72	263
n89	n30	49.4	1.05e-70	257
n89	n11	49.4	1.05e-70	257
n89	n8	49.4	1.37e-70	257
n89	n12	48.7	3.98e-70	255
n89	n31	48.7	3.98e-70	255
n89	n47	48.5	5.2e-70	255
n89	n21	48.5	5.2e-70	255
n89	n26	49.1	5.2e-70	255
n89	n57	48.0	6.79e-70	254
n89	n55	48.1	8.87e-70	254
n89	n13	48.7	1.98e-69	253
n89	n56	48.0	1.98e-69	253
n89	n9	46.6	2.58e-69	252
n89	n46	45.4	7.51e-69	251
n89	n15	45.4	7.51e-69	251
n89	n44	45.4	7.51e-69	251
n89	n81	49.5	7.51e-69	251
n89	n22	46.0	9.81e-69	250
n89	n27	46.0	9.81e-69	250
n89	n45	44.8	1.67e-68	250
n89	n10	48.7	1.67e-68	250
n89	n14	44.8	1.67e-68	250
n89	n74	45.5	2.85e-68	249
n89	n25	44.4	4.87e-68	248
n89	n80	44.7	1.42e-67	247
n89	n62	47.7	1.85e-67	246
n89	n16	47.6	3.16e-67	245
n89	n29	44.4	4.12e-67	245
n89	n24	46.3	4.12e-67	245
n89	n6	46.2	1.2e-66	243
n89	n64	47.5	1.02e-65	240
n89	n78	42.5	2.26e-65	239
n89	n23	44.2	3.86e-65	238
n89	n53	45.5	1.47e-64	236
n89	n52	47.0	1.91e-64	236
n89	n32	42.8	3.61e-63	232
n89	n72	41.0	8.04e-63	231
n89	n33	43.6	5.21e-62	228
n89	n5	43.4	1.52e-61	226
n89	n54	43.4	2.59e-61	226
n89	n69	46.4	4.41e-61	225
n89	n2	43.4	5.77e-61	225
n89	n87	41.2	6.37e-60	221
n89	n58	40.6	1.42e-59	220
n89	n34	42.2	1.57e-58	216
n89	n43	43.1	5.05e-57	211
n89	n73	43.2	6.6e-57	211
n89	n28	42.0	1.47e-56	210
n89	n88	43.1	2.35e-54	203
n89	n82	39.3	3.07e-46	176
n89	n67	39.8	3.4e-45	172
n89	n83	38.5	2.2e-44	169
n89	n79	33.9	4.91e-36	142
n89	n50	34.9	3.19e-35	139
n89	n63	28.8	1.87e-27	113
n89	n40	25.7	7.86e-26	108
n89	n3	27.6	1.07e-06	44
n89	n37	26.4	1.82e-06	44
n89	n35	26.1	2.38e-06	43
n89	n49	28.7	0.00111	34
n89	n85	27.9	0.00716	32
n89	n39	38.9	0.513	25
n88	n69	56.6	4.29e-87	311
n88	n80	48.1	1.87e-74	269
n88	n27	51.9	3.19e-74	268
n88	n22	51.9	3.19e-74	268
n88	n29	47.7	4.16e-74	268
n88	n14	47.7	9.27e-74	267
n88	n45	47.7	9.27e-74	267
n88	n46	47.4	1.58e-73	266
n88	n25	47.4	1.58e-73	266
n88	n13	51.3	1.58e-73	266
n88	n15	47.4	1.58e-73	266
n88	n44	47.4	1.58e-73	266
n88	n31	50.9	2.7e-73	265
n88	n12	50.9	2.7e-73	265
n88	n11	50.6	7.85e-73	264
n88	n30	50.6	7.85e-73	264
n88	n23	47.0	3.9e-72	262
n88	n26	50.0	8.68e-72	260
n88	n8	50.0	1.13e-71	260
n88	n10	50.2	1.93e-71	259
n88	n16	48.7	5.63e-71	258
n88	n74	50.0	1.06e-69	253
n88	n70	46.2	2.36e-69	252
n88	n81	50.4	1.17e-68	250
n88	n4	49.3	1.3e-67	247
n88	n42	48.3	2.21e-67	246
n88	n64	49.2	1.1e-66	243
n88	n32	44.3	4.17e-66	242
n88	n34	48.8	1.21e-65	240
n88	n33	45.3	2.7e-65	239
n88	n62	47.7	2.99e-64	235
n88	n18	45.1	3.91e-64	235
n88	n9	47.7	5.1e-64	235
n88	n6	46.6	5.1e-64	235
n88	n53	44.9	9.62e-63	230
n88	n52	45.3	9.62e-63	230
n88	n78	45.4	8.14e-62	227
n88	n24	44.2	3.09e-61	225
n88	n1	45.3	1.54e-60	223
n88	n87	44.1	2.01e-60	223
n88	n5	43.7	2.62e-60	222
n88	n2	44.6	4.94e-59	218
n88	n54	44.2	6.45e-59	218
n88	n72	42.5	5.46e-58	215
n88	n68	43.8	1.59e-57	213
n88	n86	45.7	1.59e-57	213
n88	n75	40.0	2.3e-56	209
n88	n76	43.3	3.91e-56	208
n88	n73	41.9	6.68e-56	208
n88	n66	41.9	8.72e-56	207
n88	n36	44.6	1.49e-55	206
n88	n71	44.6	2.54e-55	206
n88	n7	42.6	4.33e-55	205
n88	n19	41.3	7.38e-55	204
n88	n77	41.7	7.38e-55	204
n88	n28	40.4	9.64e-55	204
n88	n61	43.3	1.64e-54	203
n88	n59	43.6	8.16e-54	201
n88	n51	43.3	1.82e-53	200
n88	n41	42.1	4.05e-53	198
n88	n47	41.0	5.29e-53	198
n88	n21	41.0	5.29e-53	198
n88	n56	40.6	1.18e-52	197
n88	n57	39.8	5.85e-52	195
n88	n55	39.8	7.64e-52	194
n88	n60	42.2	1.1e-50	190
n88	n58	38.7	4.19e-50	188
n88	n20	39.3	3.92e-48	182
n88	n83	35.7	4.2e-42	162
n88	n43	37.8	7.17e-42	161
n88	n50	32.1	3.45e-28	116
n88	n82	30.9	2.92e-27	112
n88	n67	29.1	3.23e-26	109
n88	n79	31.5	2.1e-25	106
n88	n40	27.4	2.56e-23	99
n88	n63	26.2	4.37e-23	99
n88	n38	26.3	1.08e-13	67
n88	n37	23.9	0.00502	32
n88	n85	25.2	0.802	25
n88	n82	31.2	8.86	21
n87	n81	65.3	6.04e-105	371
n87	n62	69.6	9.64e-103	363
n87	n28	67.2	8.16e-102	360
n87	n6	61.1	9.03e-101	357
n87	n5	61.1	1.44e-98	349
n87	n72	59.4	4.8e-94	334
n87	n53	62.7	6.27e-94	334
n87	n16	63.8	1.07e-93	333
n87	n64	63.3	9.05e-93	330
n87	n9	56.6	5.86e-92	327
n87	n52	62.0	7.66e-92	327
n87	n24	56.0	1.31e-91	326
n87	n54	63.3	2.23e-91	325
n87	n2	63.1	1.11e-90	323
n87	n27	57.4	3.22e-90	322
n87	n22	57.4	3.22e-90	322
n87	n74	57.7	1.22e-89	320
n87	n15	56.5	1.04e-88	317
n87	n46	56.5	1.04e-88	317
n87	n44	56.5	1.04e-88	317
n87	n23	55.8	3.93e-88	315
n87	n80	56.1	1.49e-87	313
n87	n14	56.1	1.95e-87	312
n87	n45	56.1	1.95e-87	312
n87	n29	55.8	3.33e-87	312
n87	n25	55.8	5.68e-87	311
n87	n11	59.5	1.65e-86	309
n87	n30	59.5	1.65e-86	309
n87	n26	59.1	8.2e-86	307
n87	n8	59.1	1.07e-85	307
n87	n73	52.7	1.4e-85	306
n87	n13	59.1	2.39e-85	305
n87	n12	59.1	2.39e-85	305
n87	n31	59.1	2.39e-85	305
n87	n78	54.8	3.45e-84	302
n87	n10	58.6	2.23e-83	299
n87	n56	56.6	1.6e-81	293
n87	n55	56.2	3.94e-80	288
n87	n57	55.9	5.15e-80	288
n87	n32	51.6	7.44e-79	284
n87	n58	52.5	2.83e-78	282
n87	n33	51.4	6.96e-77	277
n87	n34	50.0	7.2e-74	267
n87	n69	51.6	4.37e-71	258
n87	n18	45.0	1.01e-67	247
n87	n4	46.2	1.45e-66	243
n87	n42	45.9	2.48e-66	242
n87	n75	44.7	4.68e-65	238
n87	n47	44.3	4.68e-65	238
n87	n21	44.3	4.68e-65	238
n87	n83	48.0	4.68e-65	238
n87	n77	42.2	1.78e-64	236
n87	n1	42.8	3.96e-64	235
n87	n68	43.3	3.96e-64	235
n87	n66	42.3	2.57e-63	232
n87	n7	42.4	1.27e-62	230
n87	n76	42.2	1.66e-62	230
n87	n70	43.0	4.84e-62	228
n87	n41	46.5	1.84e-61	226
n87	n19	41.0	1.84e-61	226
n87	n36	43.1	2.4e-61	226
n87	n51	43.5	6.99e-61	224
n87	n86	43.1	1.9e-58	216
n87	n61	41.0	4.24e-58	215
n87	n60	41.1	6.13e-57	211
n87	n71	37.5	8e-57	211
n87	n59	40.2	2.33e-56	209
n87	n20	40.1	8.84e-56	207
n87	n43	42.0	9.15e-53	197
n87	n82	34.8	6.17e-33	131
n87	n67	34.4	1.52e-31	127
n87	n50	30.1	8.63e-27	111
n87	n79	29.8	9.54e-26	107
n87	n63	27.6	1.43e-21	94
n87	n40	27.1	7.07e-21	91
n87	n38	24.8	1.53e-15	74
n87	n17	25.5	9.28e-05	38
n87	n85	32.3	0.00027	36
n87	n39	26.7	0.0113	31
n87	n49	25.8	0.0194	30
n87	n65	23.8	0.0253	30
n87	n37	29.9	0.125	27
n86	n71	86.4	3.95e-146	507
n86	n59	85.3	4.99e-141	490
n86	n51	67.8	7.51e-113	397
n86	n20	58.7	5.05e-101	357
n86	n36	60.4	2.77e-99	352
n86	n68	59.8	1.05e-98	350
n86	n77	59.0	1.99e-97	346
n86	n66	59.8	1.99e-97	346
n86	n7	57.9	1.68e-96	342
n86	n19	57.4	3.63e-91	325
n86	n61	56.9	3.63e-91	325
n86	n76	55.6	2.35e-90	322
n86	n60	56.2	2.87e-88	315
n86	n42	54.5	8.66e-85	304
n86	n4	54.7	1.63e-83	299
n86	n18	50.2	4.45e-81	291
n86	n47	52.6	1.02e-77	280
n86	n21	52.6	1.02e-77	280
n86	n1	50.7	1.48e-76	276
n86	n75	54.9	9.59e-76	273
n86	n27	48.4	2.89e-72	262
n86	n22	48.4	2.89e-72	262
n86	n25	48.7	2.89e-72	262
n86	n45	48.4	6.43e-72	261
n86	n14	48.4	6.43e-72	261
n86	n31	49.8	1.1e-71	260
n86	n12	49.8	1.1e-71	260
n86	n70	47.5	2.45e-71	259
n86	n29	48.4	2.45e-71	259
n86	n23	48.0	3.19e-71	258
n86	n15	48.4	9.29e-71	257
n86	n46	48.4	9.29e-71	257
n86	n44	48.4	9.29e-71	257
n86	n26	50.2	9.29e-71	257
n86	n74	46.7	9.29e-71	257
n86	n80	48.4	1.58e-70	256
n86	n11	49.8	1.58e-70	256
n86	n30	49.8	1.58e-70	256
n86	n13	49.8	2.7e-70	255
n86	n81	49.6	3.53e-70	255
n86	n8	48.9	1.75e-69	253
n86	n16	48.5	2.29e-69	252
n86	n10	49.4	3.9e-69	252
n86	n57	46.6	1.94e-68	249
n86	n43	48.7	1.94e-68	249
n86	n6	49.3	2.53e-68	249
n86	n41	45.4	4.32e-68	248
n86	n62	49.1	7.36e-68	247
n86	n55	46.2	1.26e-67	247
n86	n56	46.2	2.8e-67	245
n86	n5	49.5	6.23e-67	244
n86	n53	47.3	6.23e-67	244
n86	n52	48.5	4.04e-66	242
n86	n78	47.2	6.89e-66	241
n86	n24	46.8	1.18e-65	240
n86	n64	45.5	1.18e-65	240
n86	n33	45.6	7.62e-65	237
n86	n69	46.4	1.7e-64	236
n86	n73	46.5	2.89e-64	235
n86	n54	45.7	2.45e-63	232
n86	n2	45.3	9.31e-63	230
n86	n34	45.2	1.59e-62	230
n86	n72	41.2	6.67e-61	224
n86	n32	44.5	4.33e-60	221
n86	n9	42.9	1.7e-56	210
n86	n58	40.4	6.46e-56	208
n86	n28	40.5	3.92e-53	198
n86	n67	37.5	3.33e-44	169
n86	n83	35.8	1.83e-42	163
n86	n82	35.9	7.67e-41	158
n86	n50	31.7	4.51e-33	132
n86	n79	31.6	2.24e-32	129
n86	n63	28.1	2.93e-24	102
n86	n40	28.4	2.57e-20	89
n86	n85	23.0	0.000337	36
n86	n37	25.0	0.00486	32
n86	n49	26.2	0.0702	28
n86	n17	25.0	0.0917	28
n85	n37	36.3	3.85e-34	135
n85	n49	35.5	2.58e-30	122
n85	n39	29.3	1.47e-25	107
n85	n3	42.7	2.51e-17	79
n85	n35	41.2	9.54e-17	77
n85	n84	31.7	6.18e-16	75
n85	n48	23.9	1.99e-14	70
n85	n66	24.3	1.99e-06	43
n85	n65	25.6	3.4e-06	42
n85	n73	23.1	4.44e-06	42
n85	n64	30.7	5.8e-06	42
n85	n10	21.8	5.8e-06	42
n85	n32	26.6	7.57e-06	41
n85	n81	28.8	9.89e-06	41
n85	n18	24.8	1.29e-05	40
n85	n78	35.3	1.69e-05	40
n85	n80	25.2	1.69e-05	40
n85	n8	25.2	2.2e-05	40
n85	n13	25.2	2.88e-05	39
n85	n26	25.2	2.88e-05	39
n85	n76	30.8	3.76e-05	39
n85	n46	25.2	4.91e-05	39
n85	n15	25.2	4.91e-05	39
n85	n11	25.2	4.91e-05	39
n85	n19	31.2	4.91e-05	39
n85	n44	25.2	4.91e-05	39
n85	n30	25.2	4.91e-05	39
n85	n22	28.2	6.41e-05	38
n85	n61	31.1	6.41e-05	38
n85	n23	28.2	6.41e-05	38
n85	n72	26.5	6.41e-05	38
n85	n27	28.2	6.41e-05	38
n85	n68	31.5	6.41e-05	38
n85	n25	27.5	8.37e-05	38
n85	n5	29.0	8.37e-05	38
n85	n29	23.8	0.000109	37
n85	n36	52.8	0.000143	37
n85	n7	31.6	0.000143	37
n85	n28	26.7	0.000143	37
n85	n77	32.1	0.000143	37
n85	n61	29.0	0.000143	37
n85	n9	27.6	0.000187	37
n85	n6	26.7	0.000187	37
n85	n51	32.0	0.000187	37
n85	n45	28.4	0.000187	37
n85	n16	25.2	0.000187	37
n85	n31	28.4	0.000187	37
n85	n74	25.9	0.000187	37
n85	n20	22.7	0.000187	37
n85	n14	28.4	0.000187	37
n85	n12	28.4	0.000187	37
n85	n77	28.2	0.000244	36
n85	n19	28.2	0.000244	36
n85	n43	26.5	0.000244	36
n85	n43	46.2	0.000244	36
n85	n62	27.1	0.000244	36
n85	n6	27.5	0.000244	36
n85	n64	30.9	0.000318	36
n85	n81	29.0	0.000318	36
n85	n5	42.6	0.000416	35
n85	n33	26.6	0.000416	35
n85	n36	27.8	0.000416	35
n85	n62	27.9	0.000543	35
n85	n21	27.2	0.000543	35
n85	n47	27.2	0.000543	35
n85	n76	26.5	0.000709	35
n85	n60	31.6	0.000709	35
n85	n68	27.5	0.000926	34
n85	n75	32.2	0.000926	34
n85	n67	27.3	0.000926	34
n85	n71	43.2	0.00121	34
n85	n2	26.5	0.00158	33
n85	n83	27.7	0.00158	33
n85	n54	26.5	0.00158	33
n85	n7	27.5	0.00158	33
n85	n78	28.0	0.00206	33
n85	n59	26.4	0.00269	33
n85	n63	26.0	0.00269	33
n85	n18	27.3	0.00269	33
n85	n53	25.6	0.00352	32
n85	n70	23.4	0.00352	32
n85	n82	28.4	0.00352	32
n85	n51	24.3	0.00352	32
n85	n22	27.1	0.00459	32
n85	n27	27.1	0.00459	32
n85	n52	25.6	0.00459	32
n85	n42	23.0	0.00459	32
n85	n21	23.8	0.006	32
n85	n47	23.8	0.006	32
n85	n9	29.9	0.0102	31
n85	n34	23.5	0.0134	30
n85	n2	21.4	0.0175	30
n85	n1	26.6	0.0175	30
n85	n24	26.9	0.0228	30
n85	n54	22.9	0.0228	30
n85	n56	36.6	0.0298	29
n85	n57	36.6	0.0298	29
n85	n60	45.9	0.0298	29
n85	n4	26.4	0.0298	29
n85	n58	23.7	0.0389	29
n85	n74	25.7	0.0663	28
n85	n41	41.7	0.0663	28
n85	n55	34.1	0.148	27
n85	n3	26.4	0.148	27
n85	n40	29.5	0.148	27
n85	n50	23.9	0.252	26
n85	n69	23.0	0.329	26
n85	n35	41.7	0.43	25
n85	n79	52.6	0.562	25
