v213	v163	25.9	9.93	21
v108	v041	25.2	0.155	28
v108	v042	25.4	0.265	27
v108	v043	26.0	0.346	27
v108	v092	27.1	0.77	25
v108	v003	23.2	0.77	25
v108	v033	27.3	0.77	25
v108	v011	26.8	1.72	24
v108	v008	26.8	1.72	24
v108	v044	26.8	1.72	24
v108	v046	26.8	1.72	24
v108	v015	26.8	1.72	24
v108	v030	26.8	1.72	24
v108	v096	45.2	4.99	23
v108	v063	40.7	8.51	22
v107	v106	58.1	1.89e-107	379
v107	v100	32.5	6.22e-26	108
v107	v099	31.7	1.82e-09	54
v107	v105	30.8	2.62e-08	50
v107	v103	26.7	4.95e-07	45
v107	v104	24.6	1.88e-06	44
v107	v102	23.2	2.72e-05	40
v107	v003	23.4	0.000669	35
v107	v041	22.9	0.00195	33
v107	v035	21.8	0.00254	33
v107	v005	26.6	0.00434	32
v107	v072	24.2	0.00966	31
v107	v069	21.9	0.0215	30
v107	v022	23.4	0.0818	28
v107	v027	23.4	0.0818	28
v107	v023	24.7	0.139	27
v107	v051	23.4	0.238	27
v107	v045	25.8	0.311	26
v107	v034	28.4	0.311	26
v107	v031	25.8	0.311	26
v107	v064	34.4	0.311	26
v107	v014	25.8	0.311	26
v107	v025	26.4	0.311	26
v107	v012	25.8	0.311	26
v107	v029	26.7	0.406	26
v107	v018	25.2	0.692	25
v107	v081	33.7	0.904	25
v107	v006	36.8	0.904	25
v107	v057	62.5	1.18	24
v107	v056	62.5	1.18	24
v107	v083	56.5	1.18	24
v107	v010	36.4	1.18	24
v107	v055	52.2	2.01	23
v107	v042	36.6	3.44	23
v107	v091	47.4	4.49	22
v107	v033	31.0	4.49	22
v107	v052	29.1	4.49	22
v107	v053	50.0	5.86	22
v107	v070	50.0	5.86	22
v107	v008	41.7	7.65	22
v107	v013	41.7	7.65	22
v107	v011	41.7	7.65	22
v107	v046	41.7	7.65	22
v107	v044	41.7	7.65	22
v107	v080	41.7	7.65	22
v107	v062	34.7	7.65	22
v107	v026	41.7	7.65	22
v107	v015	41.7	7.65	22
v107	v043	38.5	7.65	22
v107	v030	41.7	7.65	22
v107	v063	40.9	10	21
v106	v100	29.5	5.38e-22	95
v106	v099	30.5	8.06e-10	55
v106	v102	27.7	6.82e-09	52
v106	v103	32.6	8.91e-09	51
v106	v104	26.0	1.68e-07	47
v106	v105	30.5	4.89e-07	45
v106	v034	23.3	0.307	26
v106	v035	26.4	0.523	25
v106	v003	26.4	0.893	25
v106	v069	32.4	4.43	22
v106	v024	54.5	9.87	21
v106	v056	52.2	9.87	21
v106	v057	52.2	9.87	21
v105	v061	31.2	1.93e-05	40
v105	v099	26.8	2.52e-05	40
v105	v063	29.1	7.33e-05	38
v105	v056	35.4	0.000125	37
v105	v057	34.2	0.000213	37
v105	v035	26.5	0.000213	37
v105	v003	24.7	0.000279	36
v105	v060	28.9	0.000364	36
v105	v055	34.2	0.000364	36
v105	v078	25.0	0.000621	35
v105	v018	25.6	0.00106	34
v105	v037	32.7	0.00181	33
v105	v019	25.6	0.00308	33
v105	v101	22.4	0.00402	32
v105	v073	28.3	0.00525	32
v105	v096	34.0	0.02	30
v105	v002	26.9	0.0445	29
v105	v036	26.8	0.0445	29
v105	v054	26.9	0.0445	29
v105	v049	29.1	0.0581	28
v105	v043	32.8	0.0991	28
v105	v003	30.4	0.129	27
v105	v093	23.2	0.492	25
v105	v081	25.0	2.44	23
v104	v102	29.1	1.76e-44	171
v104	v099	34.8	2.01e-40	157
v104	v103	28.4	3.22e-38	150
v104	v101	26.0	4.36e-27	113
v103	v099	36.5	5.67e-76	275
v103	v102	37.2	9.05e-74	268
v103	v101	28.2	2.74e-46	177
v103	v067	27.1	2.78e-06	44
v102	v099	35.3	4.16e-62	229
v102	v101	32.6	2.39e-25	107
v102	v100	29.7	0.000883	35
v101	v099	33.2	2.24e-65	240
v100	v031	30.8	0.00978	31
v100	v045	30.8	0.00978	31
v100	v012	30.8	0.00978	31
v100	v014	30.8	0.00978	31
v100	v015	33.8	0.315	26
v100	v011	33.8	0.315	26
v100	v008	33.8	0.315	26
v100	v030	33.8	0.315	26
v100	v044	33.8	0.315	26
v100	v046	33.8	0.315	26
v100	v053	31.0	2.04	23
v100	v062	24.6	7.75	22
v100	v096	47.6	7.75	22
v099	v091	27.3	1.06	25
v099	v003	37.2	6.9	22
v098	v097	33.3	2.43e-10	56
v098	v062	22.8	0.00838	31
v098	v048	22.0	0.0109	31
v098	v085	27.3	0.0143	30
v098	v096	29.6	0.0187	30
v098	v006	22.4	0.0319	29
v098	v017	23.3	0.0927	28
v098	v002	28.0	0.158	27
v098	v054	26.7	0.46	25
v098	v006	55.0	0.601	25
v098	v078	23.7	0.785	25
v098	v039	26.2	1.02	24
v098	v005	26.6	1.34	24
v098	v018	22.5	1.34	24
v098	v016	26.9	5.09	22
v098	v001	26.9	8.68	21
v098	v005	87.5	8.68	21
v097	v096	30.2	5.58e-12	62
v097	v049	28.7	4.89e-08	49
v097	v037	28.1	1.02e-05	41
v097	v085	29.1	3.87e-05	39
v097	v072	24.1	0.000251	36
v097	v078	29.5	0.000954	34
v097	v065	27.8	0.00163	33
v097	v002	31.3	0.00163	33
v097	v054	31.3	0.00163	33
v097	v024	29.0	0.00474	32
v097	v018	26.6	0.00808	31
v097	v020	28.3	0.0138	30
v097	v076	23.6	0.0235	30
v097	v022	28.0	0.0307	29
v097	v027	28.0	0.0307	29
v097	v023	28.0	0.0307	29
v097	v074	27.8	0.0307	29
v097	v042	30.1	0.0401	29
v097	v073	28.4	0.0524	28
v097	v061	24.7	0.117	27
v097	v034	29.4	0.117	27
v097	v019	22.4	0.26	26
v097	v051	25.0	0.26	26
v097	v060	22.4	0.339	26
v097	v033	29.4	0.756	25
v097	v083	24.0	0.988	24
v097	v063	24.5	2.2	23
v096	v013	38.1	0.00133	34
v096	v029	38.1	0.00133	34
v096	v027	34.0	0.00133	34
v096	v045	38.1	0.00133	34
v096	v014	38.1	0.00133	34
v096	v031	38.1	0.00133	34
v096	v025	38.1	0.00133	34
v096	v022	34.0	0.00133	34
v096	v012	38.1	0.00133	34
v096	v080	38.1	0.00133	34
v096	v078	30.1	0.00226	33
v096	v011	35.7	0.00295	33
v096	v046	35.7	0.00295	33
v096	v026	35.7	0.00295	33
v096	v023	34.0	0.00295	33
v096	v030	35.7	0.00295	33
v096	v044	35.7	0.00295	33
v096	v015	35.7	0.00295	33
v096	v008	35.7	0.00295	33
v096	v010	35.7	0.00295	33
v096	v085	37.5	0.00386	32
v096	v053	34.0	0.00504	32
v096	v019	23.2	0.00658	32
v096	v074	33.3	0.0086	31
v096	v081	30.4	0.0086	31
v096	v032	27.1	0.0086	31
v096	v005	26.1	0.0112	31
v096	v054	26.7	0.0112	31
v096	v002	26.5	0.0112	31
v096	v052	19.9	0.0112	31
v096	v059	33.3	0.0147	30
v096	v060	34.0	0.0147	30
v096	v009	36.4	0.0191	30
v096	v006	29.2	0.025	30
v096	v064	20.5	0.025	30
v096	v062	23.6	0.0327	29
v096	v035	27.7	0.0327	29
v096	v007	31.3	0.0327	29
v096	v003	27.7	0.0427	29
v096	v016	31.0	0.0557	28
v096	v042	28.6	0.0557	28
v096	v036	28.6	0.095	28
v096	v076	28.7	0.095	28
v096	v061	31.9	0.124	27
v096	v066	29.9	0.212	27
v096	v068	32.7	0.277	26
v096	v071	31.0	0.361	26
v096	v089	29.9	0.472	25
v096	v051	28.6	0.616	25
v096	v077	33.3	0.805	25
v096	v051	21.4	0.805	25
v096	v001	25.5	1.05	24
v096	v018	26.2	1.37	24
v096	v086	28.6	1.79	23
v096	v047	25.5	3.99	22
v096	v039	30.8	3.99	22
v096	v021	25.5	3.99	22
v095	v094	98.1	1.99e-150	522
v095	v092	60.6	1.6e-91	326
v095	v091	49.8	3.26e-68	248
v095	v093	38.0	3.18e-39	152
v095	v001	25.4	0.031	29
v095	v042	24.3	0.0405	29
v095	v007	21.3	0.053	28
v095	v068	21.4	0.343	26
v095	v074	26.4	0.999	24
v095	v004	27.1	2.23	23
v095	v049	28.6	6.47	22
v094	v092	59.9	1.36e-90	323
v094	v091	49.1	2.11e-67	246
v094	v093	37.7	1.21e-38	150
v094	v007	20.5	0.154	27
v094	v068	20.6	0.999	24
v094	v074	26.3	1.3	24
v093	v091	33.5	1.01e-46	178
v093	v092	34.9	2.24e-46	176
v093	v052	28.8	0.0339	30
v093	v024	25.8	0.0339	30
v093	v053	26.9	0.0987	28
v093	v078	30.0	0.22	27
v093	v070	25.0	0.64	25
v093	v072	30.2	2.43	23
v093	v062	31.1	2.43	23
v093	v081	31.2	5.42	22
v093	v064	28.9	9.24	22
v092	v091	43.3	1.74e-75	273
v092	v033	29.9	0.217	27
v092	v034	29.9	0.217	27
v091	v063	24.2	0.099	28
v091	v034	26.3	0.288	27
v091	v070	51.9	1.09	25
v091	v033	28.4	1.87	24
v090	v088	29.1	4.28e-17	79
v090	v023	28.8	5.59e-17	78
v090	v007	28.7	1.63e-16	77
v090	v069	25.5	2.12e-16	76
v090	v070	28.6	2.77e-16	76
v090	v061	27.8	2.77e-16	76
v090	v006	29.9	8.07e-16	74
v090	v052	27.5	1.05e-15	74
v090	v074	27.3	1.38e-15	74
v090	v077	27.4	1.8e-15	73
v090	v068	27.1	1.8e-15	73
v090	v027	27.6	2.35e-15	73
v090	v022	27.6	2.35e-15	73
v090	v025	29.4	2.35e-15	73
v090	v064	29.5	3.07e-15	72
v090	v081	28.0	4.01e-15	72
v090	v053	27.0	4.01e-15	72
v090	v029	29.8	4.01e-15	72
v090	v024	27.6	5.23e-15	72
v090	v012	29.0	5.23e-15	72
v090	v014	29.0	5.23e-15	72
v090	v045	29.0	5.23e-15	72
v090	v031	29.0	5.23e-15	72
v090	v019	27.1	5.23e-15	72
v090	v060	26.6	6.83e-15	71
v090	v072	27.3	6.83e-15	71
v090	v066	26.6	6.83e-15	71
v090	v076	26.0	8.92e-15	71
v090	v032	28.0	1.17e-14	70
v090	v004	27.1	1.52e-14	70
v090	v089	28.5	2.6e-14	69
v090	v001	27.1	2.6e-14	69
v090	v086	26.6	5.78e-14	68
v090	v087	27.9	7.56e-14	68
v090	v036	26.4	9.87e-14	67
v090	v033	25.3	1.68e-13	67
v090	v008	26.7	2.2e-13	66
v090	v026	27.8	2.87e-13	66
v090	v080	27.8	3.75e-13	65
v090	v013	27.8	3.75e-13	65
v090	v005	25.5	4.9e-13	65
v090	v016	25.7	8.35e-13	64
v090	v078	28.4	1.09e-12	64
v090	v063	25.1	1.42e-12	64
v090	v083	26.6	1.42e-12	64
v090	v071	25.4	1.86e-12	63
v090	v009	26.2	2.43e-12	63
v090	v015	27.0	3.17e-12	62
v090	v030	27.0	3.17e-12	62
v090	v011	27.0	3.17e-12	62
v090	v044	27.0	3.17e-12	62
v090	v046	27.0	3.17e-12	62
v090	v059	25.9	5.41e-12	62
v090	v010	27.0	7.07e-12	61
v090	v062	26.2	9.24e-12	61
v090	v051	25.5	1.21e-11	60
v090	v028	26.2	1.21e-11	60
v090	v043	27.2	1.58e-11	60
v090	v073	25.2	1.58e-11	60
v090	v041	26.7	2.06e-11	60
v090	v034	24.5	2.69e-11	59
v090	v054	27.9	2.69e-11	59
v090	v021	25.6	3.51e-11	59
v090	v018	25.5	3.51e-11	59
v090	v047	25.6	3.51e-11	59
v090	v040	25.3	4.58e-11	59
v090	v067	25.9	4.58e-11	59
v090	v002	27.2	5.99e-11	58
v090	v020	25.1	2.27e-10	56
v090	v075	25.7	5.07e-10	55
v090	v042	25.2	6.62e-10	55
v090	v055	24.1	3.28e-09	52
v090	v057	24.3	3.28e-09	52
v090	v056	24.3	5.6e-09	52
v090	v058	26.8	9.56e-09	51
v090	v050	24.7	1.38e-07	47
v090	v082	23.4	4.02e-07	45
v090	v079	24.3	2.6e-06	43
v090	v038	21.9	0.000926	34
v089	v061	62.8	6.49e-113	397
v089	v077	63.2	3.56e-111	391
v089	v007	61.1	5.69e-109	384
v089	v019	61.2	9.7e-109	383
v089	v066	61.1	6.29e-108	381
v089	v068	60.7	6.29e-108	381
v089	v076	59.2	2.02e-106	376
v089	v051	61.8	3.23e-104	368
v089	v060	57.6	2.09e-103	366
v089	v036	56.0	3.34e-101	358
v089	v071	55.9	3.13e-99	352
v089	v086	59.1	7.7e-98	347
v089	v059	56.1	1.11e-96	343
v089	v020	51.2	3.59e-87	312
v089	v042	55.9	1.04e-86	310
v089	v004	49.7	3.97e-78	282
v089	v018	47.3	8.85e-78	280
v089	v001	53.2	1.08e-75	273
v089	v070	47.2	2.41e-75	272
v089	v041	47.6	1.56e-74	270
v089	v075	55.0	1.46e-72	263
v089	v030	49.4	1.05e-70	257
v089	v011	49.4	1.05e-70	257
v089	v008	49.4	1.37e-70	257
v089	v012	48.7	3.98e-70	255
v089	v031	48.7	3.98e-70	255
v089	v047	48.5	5.2e-70	255
v089	v021	48.5	5.2e-70	255
v089	v026	49.1	5.2e-70	255
v089	v057	48.0	6.79e-70	254
v089	v055	48.1	8.87e-70	254
v089	v013	48.7	1.98e-69	253
v089	v056	48.0	1.98e-69	253
v089	v009	46.6	2.58e-69	252
v089	v046	45.4	7.51e-69	251
v089	v015	45.4	7.51e-69	251
v089	v044	45.4	7.51e-69	251
v089	v081	49.5	7.51e-69	251
v089	v022	46.0	9.81e-69	250
v089	v027	46.0	9.81e-69	250
v089	v045	44.8	1.67e-68	250
v089	v010	48.7	1.67e-68	250
v089	v014	44.8	1.67e-68	250
v089	v074	45.5	2.85e-68	249
v089	v025	44.4	4.87e-68	248
v089	v080	44.7	1.42e-67	247
v089	v062	47.7	1.85e-67	246
v089	v016	47.6	3.16e-67	245
v089	v029	44.4	4.12e-67	245
v089	v024	46.3	4.12e-67	245
v089	v006	46.2	1.2e-66	243
v089	v064	47.5	1.02e-65	240
v089	v078	42.5	2.26e-65	239
v089	v023	44.2	3.86e-65	238
v089	v053	45.5	1.47e-64	236
v089	v052	47.0	1.91e-64	236
v089	v032	42.8	3.61e-63	232
v089	v072	41.0	8.04e-63	231
v089	v033	43.6	5.21e-62	228
v089	v005	43.4	1.52e-61	226
v089	v054	43.4	2.59e-61	226
v089	v069	46.4	4.41e-61	225
v089	v002	43.4	5.77e-61	225
v089	v087	41.2	6.37e-60	221
v089	v058	40.6	1.42e-59	220
v089	v034	42.2	1.57e-58	216
v089	v043	43.1	5.05e-57	211
v089	v073	43.2	6.6e-57	211
v089	v028	42.0	1.47e-56	210
v089	v088	43.1	2.35e-54	203
v089	v082	39.3	3.07e-46	176
v089	v067	39.8	3.4e-45	172
v089	v083	38.5	2.2e-44	169
v089	v079	33.9	4.91e-36	142
v089	v050	34.9	3.19e-35	139
v089	v063	28.8	1.87e-27	113
v089	v040	25.7	7.86e-26	108
v089	v003	27.6	1.07e-06	44
v089	v037	26.4	1.82e-06	44
v089	v035	26.1	2.38e-06	43
v089	v049	28.7	0.00111	34
v089	v085	27.9	0.00716	32
v089	v039	38.9	0.513	25
v088	v069	56.6	4.29e-87	311
v088	v080	48.1	1.87e-74	269
v088	v027	51.9	3.19e-74	268
v088	v022	51.9	3.19e-74	268
v088	v029	47.7	4.16e-74	268
v088	v014	47.7	9.27e-74	267
v088	v045	47.7	9.27e-74	267
v088	v046	47.4	1.58e-73	266
v088	v025	47.4	1.58e-73	266
v088	v013	51.3	1.58e-73	266
v088	v015	47.4	1.58e-73	266
v088	v044	47.4	1.58e-73	266
v088	v031	50.9	2.7e-73	265
v088	v012	50.9	2.7e-73	265
v088	v011	50.6	7.85e-73	264
v088	v030	50.6	7.85e-73	264
v088	v023	47.0	3.9e-72	262
v088	v026	50.0	8.68e-72	260
v088	v008	50.0	1.13e-71	260
v088	v010	50.2	1.93e-71	259
v088	v016	48.7	5.63e-71	258
v088	v074	50.0	1.06e-69	253
v088	v070	46.2	2.36e-69	252
v088	v081	50.4	1.17e-68	250
v088	v004	49.3	1.3e-67	247
v088	v042	48.3	2.21e-67	246
v088	v064	49.2	1.1e-66	243
v088	v032	44.3	4.17e-66	242
v088	v034	48.8	1.21e-65	240
v088	v033	45.3	2.7e-65	239
v088	v062	47.7	2.99e-64	235
v088	v018	45.1	3.91e-64	235
v088	v009	47.7	5.1e-64	235
v088	v006	46.6	5.1e-64	235
v088	v053	44.9	9.62e-63	230
v088	v052	45.3	9.62e-63	230
v088	v078	45.4	8.14e-62	227
v088	v024	44.2	3.09e-61	225
v088	v001	45.3	1.54e-60	223
v088	v087	44.1	2.01e-60	223
v088	v005	43.7	2.62e-60	222
v088	v002	44.6	4.94e-59	218
v088	v054	44.2	6.45e-59	218
v088	v072	42.5	5.46e-58	215
v088	v068	43.8	1.59e-57	213
v088	v086	45.7	1.59e-57	213
v088	v075	40.0	2.3e-56	209
v088	v076	43.3	3.91e-56	208
v088	v073	41.9	6.68e-56	208
v088	v066	41.9	8.72e-56	207
v088	v036	44.6	1.49e-55	206
v088	v071	44.6	2.54e-55	206
v088	v007	42.6	4.33e-55	205
v088	v019	41.3	7.38e-55	204
v088	v077	41.7	7.38e-55	204
v088	v028	40.4	9.64e-55	204
v088	v061	43.3	1.64e-54	203
v088	v059	43.6	8.16e-54	201
v088	v051	43.3	1.82e-53	200
v088	v041	42.1	4.05e-53	198
v088	v047	41.0	5.29e-53	198
v088	v021	41.0	5.29e-53	198
v088	v056	40.6	1.18e-52	197
v088	v057	39.8	5.85e-52	195
v088	v055	39.8	7.64e-52	194
v088	v060	42.2	1.1e-50	190
v088	v058	38.7	4.19e-50	188
v088	v020	39.3	3.92e-48	182
v088	v083	35.7	4.2e-42	162
v088	v043	37.8	7.17e-42	161
v088	v050	32.1	3.45e-28	116
v088	v082	30.9	2.92e-27	112
v088	v067	29.1	3.23e-26	109
v088	v079	31.5	2.1e-25	106
v088	v040	27.4	2.56e-23	99
v088	v063	26.2	4.37e-23	99
v088	v038	26.3	1.08e-13	67
v088	v037	23.9	0.00502	32
v088	v085	25.2	0.802	25
v088	v082	31.2	8.86	21
v087	v081	65.3	6.04e-105	371
v087	v062	69.6	9.64e-103	363
v087	v028	67.2	8.16e-102	360
v087	v006	61.1	9.03e-101	357
v087	v005	61.1	1.44e-98	349
v087	v072	59.4	4.8e-94	334
v087	v053	62.7	6.27e-94	334
v087	v016	63.8	1.07e-93	333
v087	v064	63.3	9.05e-93	330
v087	v009	56.6	5.86e-92	327
v087	v052	62.0	7.66e-92	327
v087	v024	56.0	1.31e-91	326
v087	v054	63.3	2.23e-91	325
v087	v002	63.1	1.11e-90	323
v087	v027	57.4	3.22e-90	322
v087	v022	57.4	3.22e-90	322
v087	v074	57.7	1.22e-89	320
v087	v015	56.5	1.04e-88	317
v087	v046	56.5	1.04e-88	317
v087	v044	56.5	1.04e-88	317
v087	v023	55.8	3.93e-88	315
v087	v080	56.1	1.49e-87	313
v087	v014	56.1	1.95e-87	312
v087	v045	56.1	1.95e-87	312
v087	v029	55.8	3.33e-87	312
v087	v025	55.8	5.68e-87	311
v087	v011	59.5	1.65e-86	309
v087	v030	59.5	1.65e-86	309
v087	v026	59.1	8.2e-86	307
v087	v008	59.1	1.07e-85	307
v087	v073	52.7	1.4e-85	306
v087	v013	59.1	2.39e-85	305
v087	v012	59.1	2.39e-85	305
v087	v031	59.1	2.39e-85	305
v087	v078	54.8	3.45e-84	302
v087	v010	58.6	2.23e-83	299
v087	v056	56.6	1.6e-81	293
v087	v055	56.2	3.94e-80	288
v087	v057	55.9	5.15e-80	288
v087	v032	51.6	7.44e-79	284
v087	v058	52.5	2.83e-78	282
v087	v033	51.4	6.96e-77	277
v087	v034	50.0	7.2e-74	267
v087	v069	51.6	4.37e-71	258
v087	v018	45.0	1.01e-67	247
v087	v004	46.2	1.45e-66	243
v087	v042	45.9	2.48e-66	242
v087	v075	44.7	4.68e-65	238
v087	v047	44.3	4.68e-65	238
v087	v021	44.3	4.68e-65	238
v087	v083	48.0	4.68e-65	238
v087	v077	42.2	1.78e-64	236
v087	v001	42.8	3.96e-64	235
v087	v068	43.3	3.96e-64	235
v087	v066	42.3	2.57e-63	232
v087	v007	42.4	1.27e-62	230
v087	v076	42.2	1.66e-62	230
v087	v070	43.0	4.84e-62	228
v087	v041	46.5	1.84e-61	226
v087	v019	41.0	1.84e-61	226
v087	v036	43.1	2.4e-61	226
v087	v051	43.5	6.99e-61	224
v087	v086	43.1	1.9e-58	216
v087	v061	41.0	4.24e-58	215
v087	v060	41.1	6.13e-57	211
v087	v071	37.5	8e-57	211
v087	v059	40.2	2.33e-56	209
v087	v020	40.1	8.84e-56	207
v087	v043	42.0	9.15e-53	197
v087	v082	34.8	6.17e-33	131
v087	v067	34.4	1.52e-31	127
v087	v050	30.1	8.63e-27	111
v087	v079	29.8	9.54e-26	107
v087	v063	27.6	1.43e-21	94
v087	v040	27.1	7.07e-21	91
v087	v038	24.8	1.53e-15	74
v087	v017	25.5	9.28e-05	38
v087	v085	32.3	0.00027	36
v087	v039	26.7	0.0113	31
v087	v049	25.8	0.0194	30
v087	v065	23.8	0.0253	30
v087	v037	29.9	0.125	27
v086	v071	86.4	3.95e-146	507
v086	v059	85.3	4.99e-141	490
v086	v051	67.8	7.51e-113	397
v086	v020	58.7	5.05e-101	357
v086	v036	60.4	2.77e-99	352
v086	v068	59.8	1.05e-98	350
v086	v077	59.0	1.99e-97	346
v086	v066	59.8	1.99e-97	346
v086	v007	57.9	1.68e-96	342
v086	v019	57.4	3.63e-91	325
v086	v061	56.9	3.63e-91	325
v086	v076	55.6	2.35e-90	322
v086	v060	56.2	2.87e-88	315
v086	v042	54.5	8.66e-85	304
v086	v004	54.7	1.63e-83	299
v086	v018	50.2	4.45e-81	291
v086	v047	52.6	1.02e-77	280
v086	v021	52.6	1.02e-77	280
v086	v001	50.7	1.48e-76	276
v086	v075	54.9	9.59e-76	273
v086	v027	48.4	2.89e-72	262
v086	v022	48.4	2.89e-72	262
v086	v025	48.7	2.89e-72	262
v086	v045	48.4	6.43e-72	261
v086	v014	48.4	6.43e-72	261
v086	v031	49.8	1.1e-71	260
v086	v012	49.8	1.1e-71	260
v086	v070	47.5	2.45e-71	259
v086	v029	48.4	2.45e-71	259
v086	v023	48.0	3.19e-71	258
v086	v015	48.4	9.29e-71	257
v086	v046	48.4	9.29e-71	257
v086	v044	48.4	9.29e-71	257
v086	v026	50.2	9.29e-71	257
v086	v074	46.7	9.29e-71	257
v086	v080	48.4	1.58e-70	256
v086	v011	49.8	1.58e-70	256
v086	v030	49.8	1.58e-70	256
v086	v013	49.8	2.7e-70	255
v086	v081	49.6	3.53e-70	255
v086	v008	48.9	1.75e-69	253
v086	v016	48.5	2.29e-69	252
v086	v010	49.4	3.9e-69	252
v086	v057	46.6	1.94e-68	249
v086	v043	48.7	1.94e-68	249
v086	v006	49.3	2.53e-68	249
v086	v041	45.4	4.32e-68	248
v086	v062	49.1	7.36e-68	247
v086	v055	46.2	1.26e-67	247
v086	v056	46.2	2.8e-67	245
v086	v005	49.5	6.23e-67	244
v086	v053	47.3	6.23e-67	244
v086	v052	48.5	4.04e-66	242
v086	v078	47.2	6.89e-66	241
v086	v024	46.8	1.18e-65	240
v086	v064	45.5	1.18e-65	240
v086	v033	45.6	7.62e-65	237
v086	v069	46.4	1.7e-64	236
v086	v073	46.5	2.89e-64	235
v086	v054	45.7	2.45e-63	232
v086	v002	45.3	9.31e-63	230
v086	v034	45.2	1.59e-62	230
v086	v072	41.2	6.67e-61	224
v086	v032	44.5	4.33e-60	221
v086	v009	42.9	1.7e-56	210
v086	v058	40.4	6.46e-56	208
v086	v028	40.5	3.92e-53	198
v086	v067	37.5	3.33e-44	169
v086	v083	35.8	1.83e-42	163
v086	v082	35.9	7.67e-41	158
v086	v050	31.7	4.51e-33	132
v086	v079	31.6	2.24e-32	129
v086	v063	28.1	2.93e-24	102
v086	v040	28.4	2.57e-20	89
v086	v085	23.0	0.000337	36
v086	v037	25.0	0.00486	32
v086	v049	26.2	0.0702	28
v086	v017	25.0	0.0917	28
v085	v037	36.3	3.85e-34	135
v085	v049	35.5	2.58e-30	122
v085	v039	29.3	1.47e-25	107
v085	v003	42.7	2.51e-17	79
v085	v035	41.2	9.54e-17	77
v085	v084	31.7	6.18e-16	75
v085	v048	23.9	1.99e-14	70
v085	v066	24.3	1.99e-06	43
v085	v065	25.6	3.4e-06	42
v085	v073	23.1	4.44e-06	42
v085	v064	30.7	5.8e-06	42
v085	v010	21.8	5.8e-06	42
v085	v032	26.6	7.57e-06	41
v085	v081	28.8	9.89e-06	41
v085	v018	24.8	1.29e-05	40
v085	v078	35.3	1.69e-05	40
v085	v080	25.2	1.69e-05	40
v085	v008	25.2	2.2e-05	40
v085	v013	25.2	2.88e-05	39
v085	v026	25.2	2.88e-05	39
v085	v076	30.8	3.76e-05	39
v085	v046	25.2	4.91e-05	39
v085	v015	25.2	4.91e-05	39
v085	v011	25.2	4.91e-05	39
v085	v019	31.2	4.91e-05	39
v085	v044	25.2	4.91e-05	39
v085	v030	25.2	4.91e-05	39
v085	v022	28.2	6.41e-05	38
v085	v061	31.1	6.41e-05	38
v085	v023	28.2	6.41e-05	38
v085	v072	26.5	6.41e-05	38
v085	v027	28.2	6.41e-05	38
v085	v068	31.5	6.41e-05	38
v085	v025	27.5	8.37e-05	38
v085	v005	29.0	8.37e-05	38
v085	v029	23.8	0.000109	37
v085	v036	52.8	0.000143	37
v085	v007	31.6	0.000143	37
v085	v028	26.7	0.000143	37
v085	v077	32.1	0.000143	37
v085	v061	29.0	0.000143	37
v085	v009	27.6	0.000187	37
v085	v006	26.7	0.000187	37
v085	v051	32.0	0.000187	37
v085	v045	28.4	0.000187	37
v085	v016	25.2	0.000187	37
v085	v031	28.4	0.000187	37
v085	v074	25.9	0.000187	37
v085	v020	22.7	0.000187	37
v085	v014	28.4	0.000187	37
v085	v012	28.4	0.000187	37
v085	v077	28.2	0.000244	36
v085	v019	28.2	0.000244	36
v085	v043	26.5	0.000244	36
v085	v043	46.2	0.000244	36
v085	v062	27.1	0.000244	36
v085	v006	27.5	0.000244	36
v085	v064	30.9	0.000318	36
v085	v081	29.0	0.000318	36
v085	v005	42.6	0.000416	35
v085	v033	26.6	0.000416	35
v085	v036	27.8	0.000416	35
v085	v062	27.9	0.000543	35
v085	v021	27.2	0.000543	35
v085	v047	27.2	0.000543	35
v085	v076	26.5	0.000709	35
v085	v060	31.6	0.000709	35
v085	v068	27.5	0.000926	34
v085	v075	32.2	0.000926	34
v085	v067	27.3	0.000926	34
v085	v071	43.2	0.00121	34
v085	v002	26.5	0.00158	33
v085	v083	27.7	0.00158	33
v085	v054	26.5	0.00158	33
v085	v007	27.5	0.00158	33
v085	v078	28.0	0.00206	33
v085	v059	26.4	0.00269	33
v085	v063	26.0	0.00269	33
v085	v018	27.3	0.00269	33
v085	v053	25.6	0.00352	32
v085	v070	23.4	0.00352	32
v085	v082	28.4	0.00352	32
v085	v051	24.3	0.00352	32
v085	v022	27.1	0.00459	32
v085	v027	27.1	0.00459	32
v085	v052	25.6	0.00459	32
v085	v042	23.0	0.00459	32
v085	v021	23.8	0.006	32
v085	v047	23.8	0.006	32
v085	v009	29.9	0.0102	31
v085	v034	23.5	0.0134	30
v085	v002	21.4	0.0175	30
v085	v001	26.6	0.0175	30
v085	v024	26.9	0.0228	30
v085	v054	22.9	0.0228	30
v085	v056	36.6	0.0298	29
v085	v057	36.6	0.0298	29
v085	v060	45.9	0.0298	29
v085	v004	26.4	0.0298	29
v085	v058	23.7	0.0389	29
v085	v074	25.7	0.0663	28
v085	v041	41.7	0.0663	28
v085	v055	34.1	0.148	27
v085	v003	26.4	0.148	27
v085	v040	29.5	0.148	27
v085	v050	23.9	0.252	26
v085	v069	23.0	0.329	26
v085	v035	41.7	0.43	25
v085	v079	52.6	0.562	25
